run_id,benchmark,item_id,prompt_idx,model,selected_model,judge_model_used,timeouts_count,retries_count,temperature,duration_ms,correct_int,gpu_sample_count,gpu_duration_s,gpu_total_energy_j,gpu_effective_energy_j,gpu_avg_total_power_w,gpu_avg_effective_power_w,level,type,reason
1772818063,math500,0,1,deepseek-r1:32b,deepseek-r1:32b,deepseek-r1:32b,0,0,0.2,57838,1,289,57.698493242263794,15070.303993544592,10941.290638992166,260.5236643598616,188.97900027681646,2,,Correct formatting and from the largest model.
1772818063,math500,1,2,deepseek-r1:8b,deepseek-r1:8b,deepseek-r1:32b,0,0,0.2,128764,1,643,128.61865639686584,34565.17222032001,25336.698116848318,268.4838164852257,196.73313654743373,5,,"All answers are correct and identical, so the first one is chosen."
1772818063,math500,2,3,deepseek-r1:8b,deepseek-r1:8b,deepseek-r1:32b,0,0,0.2,62104,1,310,61.90016412734985,16826.847701412436,12385.991742798542,271.28884838709644,199.54655651612887,3,,All answers are correct and identical.
1772818063,math500,3,4,deepseek-r1:8b,deepseek-r1:8b,deepseek-r1:32b,0,1,0.2,61541,1,307,61.307044982910156,16206.68397621205,11808.684248015445,263.8239348534203,192.08659856677502,3,,"All answers are correct and identical, so the smallest index is chosen."
1772818063,math500,4,5,deepseek-r1:32b,deepseek-r1:32b,deepseek-r1:32b,0,0,0.2,118851,0,593,118.59711265563965,33231.8456010846,24722.65842858344,279.90854974704877,208.15984465429995,2,,Evelyn has the highest average speed. | override:format_guardrail
1772818063,math500,5,6,deepseek-r1:8b,deepseek-r1:8b,deepseek-r1:32b,0,1,0.2,75388,1,377,75.32611513137817,20759.386895833348,15355.113427229444,275.1396286472148,203.3945733687002,2,,All answers are correct and identical.
1772818063,math500,6,7,deepseek-r1:8b,deepseek-r1:8b,deepseek-r1:32b,0,1,0.2,118453,1,591,118.20719790458679,34127.21072223302,25645.93991113738,288.38850930626,216.63930125211502,3,,"All answers are correct and identical, so the first one is chosen."
1772818063,math500,7,8,deepseek-r1:8b,deepseek-r1:8b,deepseek-r1:32b,0,0,0.2,125024,0,624,124.81279063224792,34348.49710863017,25392.719454765465,274.9253798076926,203.1716849358976,4,,All answers are correct and the angle is 90 degrees.
1772818063,math500,8,9,deepseek-r1:8b,deepseek-r1:8b,deepseek-r1:32b,0,0,0.2,47147,1,235,46.87679958343506,12026.406855568232,8663.677269099513,255.89287234042536,184.15729582978707,3,,"All answers are correct and identical, meeting the simplest radical form requirement."
1772818063,math500,9,10,deepseek-r1:8b,deepseek-r1:8b,deepseek-r1:32b,0,0,0.2,373001,1,1862,372.82650113105774,114188.6370317982,87434.94944458918,306.2038276047258,234.44474451127755,5,,All candidates agree on the correct answer of 4 distinct values.
